grade,name_clean,sector,sector_clean,ascents,fos_ratio,recommendation,stars
8b,4X4,Akdeniz,Akdeniz,12,0.0,0.0,3
7b+,Akdeniz,Akdeniz,Akdeniz,13,0.31,0.15,4
7a+,Atatürk,Akdeniz,Akdeniz,2,0.5,0.0,3
6c,Bebe Biskuvi,Akdeniz,Akdeniz,34,0.68,0.03,3
7c+,Django,Akdeniz,Akdeniz,5,0.0,0.0,4
7b+,Jose Bove,Akdeniz,Akdeniz,42,0.21,0.07,3
8a,Katil kim,Akdeniz,Akdeniz,32,0.09,0.25,4
8a,Metallica,Akdeniz,Akdeniz,76,0.09,0.2,4
8b,Ninja Skills,Akdeniz,Akdeniz,1,0.0,1.0,5
6b+,Pers arjantin,Akdeniz,Akdeniz,34,0.88,0.18,4
8b,Savaşma Seviş,Akdeniz,Akdeniz,20,0.0,0.15,4
6c+,Squirrel Nut Zippers,Akdeniz,Akdeniz,28,0.86,0.07,4
7a,Squirrel Nut Zippers,Akdeniz,Akdeniz,4,0.25,0.0,5
6a,Alaaddin,Alaaddin,Alaaddin,63,0.92,0.02,2
6a+,Alaaddin,Unknown Sector,Alaaddin,1,1.0,0.0,0
5c,Ayasofya,Alaaddin,Alaaddin,41,0.93,0.02,3
6a+,Dirty Dancing,Alaaddin,Alaaddin,38,0.84,0.03,3
6b+,Dream On,Alaaddin,Alaaddin,45,0.87,0.18,4
6b,Iron man,Alaaddin,Alaaddin,64,0.95,0.11,3
6a,Jasmina,Alaaddin,Alaaddin,50,0.94,0.0,3
6b,Tufan Age,Alaaddin,Alaaddin,32,0.84,0.06,3
6b,Unbreakable,Alaaddin,Alaaddin,31,0.97,0.0,3
6b+,Wild Child,Alaaddin,Alaaddin,28,0.82,0.11,3
6b,24 M Chrono,Alabalik,Alabalik,138,0.9,0.12,3
4b,5 Gewinnt,Alabalik,Alabalik,20,0.9,0.0,4
8a,Against All Odds,Alabalik,Alabalik,15,0.07,0.07,3
6c,Akintiya Karsi Yüzmek,Alabalik,Alabalik,147,0.84,0.13,3
6a+,Alabalik,Alabalik,Alabalik,1,0.0,0.0,0
6b,Alabalik,Alabalik,Alabalik,214,0.86,0.09,3
6c,Alabalik Extension,Alabalik,Alabalik,21,0.76,0.24,4
5c,Alabalik henkelei,Alabalik,Alabalik,1,1.0,0.0,0
7c+,Arc teryx,Alabalik,Alabalik,45,0.18,0.07,4
6a,Baby Bat,Alabalik,Alabalik,99,0.84,0.08,3
6a+,Big Things,Alabalik,Alabalik,100,0.84,0.18,3
8a+,Bloody Knuckles,Alabalik,Alabalik,26,0.04,0.12,4
7b+,Born to Run,Alabalik,Alabalik,1,0.0,1.0,0
7a,Brazilia Carnaval,Alabalik,Alabalik,400,0.67,0.11,3
5c,Butterfly Boulevard,Alabalik,Alabalik,82,0.8,0.08,2
8a,Chain Erection,Alabalik,Alabalik,116,0.11,0.16,4
6c+,Chili con Carne,Alabalik,Alabalik,1,0.0,0.0,0
6c+,Chili con Pillar,Alabalik,Alabalik,107,0.78,0.07,3
7a,Chili con Pillar right,Alabalik,Alabalik,2,0.5,0.0,1
7b,Climb Now,Alabalik balkon 4,Alabalik,2,1.0,0.0,1
7a+,Climb on Work Later,Alabalik,Alabalik,105,0.57,0.16,3
8b,Climb on Work Later,Alabalik Balkon,Alabalik,13,0.0,0.15,3
6c+,Dave Smith and the german tecno,Alabalik,Alabalik,9,0.89,0.0,3
7c,Devil dance,Alabalik,Alabalik,1,0.0,0.0,1
7c+,Devil dance,Alabalik,Alabalik,5,0.0,0.0,3
8a,Dog Wars,Alabalik,Alabalik,72,0.14,0.11,3
7a,Due Stazioni,Alabalik,Alabalik,95,0.56,0.07,3
7a,Elif,Alabalik,Alabalik,24,0.54,0.0,3
7a,Finger Food,Alabalik,Alabalik,89,0.51,0.1,2
7a,Fisherman's Friend,Alabalik,Alabalik,100,0.56,0.13,3
6b+,Halva,Alabalik,Alabalik,304,0.81,0.09,3
5c,Havana Club,Alabalik Balkon,Alabalik,18,0.89,0.28,4
6b+,Havana Club,Alabalik,Alabalik,20,0.6,0.1,3
8a,Havana Club,Alabalik,Alabalik,2,0.0,0.0,0
5c,Henkelei,Alabalik,Alabalik,44,0.98,0.04,3
6c+,Heroes go left,Alabalik,Alabalik,29,0.38,0.0,3
8a+,Highline,Alabalik,Alabalik,7,0.29,0.14,3
7a,Jungle Speed,Alabalik,Alabalik,131,0.57,0.04,2
6b+,Kabil'in Ucurtmalari,Alabalik,Alabalik,1,1.0,0.0,3
7a+,Kabil'in Ucurtmalari,Alabalik,Alabalik,94,0.53,0.08,3
6c+,Kaye ve reis,Alabalik,Alabalik,2,0.5,0.0,5
7a+,Kelebegin,Alibalik,Alabalik,1,0.0,0.0,0
6c,Kelebegin Rüyasi,Alabalik,Alabalik,132,0.8,0.13,4
8a,Kleopatra,Alabalik,Alabalik,108,0.07,0.12,4
6b,L 'Homme al 'Enners,Alabalik,Alabalik,2,1.0,0.0,4
6b,L'home a'lenvers,Alabalik,Alabalik,2,0.5,0.0,0
6b,L'homme à l'envers,Alabalik,Alabalik,111,0.86,0.07,3
7c+,Le coleur d'eau,Alabalik,Alabalik,7,0.43,0.0,5
7c+,Les Couleurs de l'eau,Alabalik,Alabalik,81,0.19,0.07,3
6c+,Maa Croob,Alabalik,Alabalik,68,0.68,0.15,3
7a+,N.N. (Havla),Alabalik,Alabalik,1,0.0,0.0,0
7b,Nar Bahcesi,Alabalik,Alabalik,48,0.54,0.06,3
8a+,Neptunalia,Alabalik,Alabalik,59,0.05,0.2,4
6a+,No Gearrr,Alabalik,Alabalik,233,0.91,0.04,3
6a,No Name (1. L),Alabalik,Alabalik,23,1.0,0.09,4
6a,No gear,Alabalik,Alabalik,1,0.0,0.0,0
8b+,Obelix,Alabalik,Alabalik,13,0.0,0.08,4
7c+,Parallel universe,Alabalik,Alabalik,86,0.22,0.26,4
6a,Pembe Hayaller,Alabalik,Alabalik,88,0.87,0.07,3
6a+,Pembe Hayaller,Alabalik Balkon,Alabalik,25,0.84,0.08,1
7c+,Porro d'Aqua,Alabalik,Alabalik,23,0.22,0.0,4
7b+,River dance,Alabalik,Alabalik,170,0.36,0.16,4
8c+,Rock Erotic,Alabalik,Alabalik,4,0.0,0.25,4
7a+,Serbest stil,Alabalik,Alabalik,218,0.52,0.07,3
7a,Sheep direct,Alabalik,Alabalik,51,0.49,0.02,2
5a,Sheep in the keep,Alabalik Balkon,Alabalik,8,0.75,0.25,4
6b,Sheep in the keep,Alabalik,Alabalik,62,0.77,0.03,2
5a,Sheep in the keep L1,Alabalik Balcon,Alabalik,3,1.0,0.0,0
5c,Sky window,Alabalik,Alabalik,54,0.94,0.06,4
7b+,Sloper poker,Alabalik,Alabalik,121,0.25,0.04,2
5c,Solero,Alabalik,Alabalik,55,0.88,0.04,2
7a+,Spanish Thanks Giving,Alabalik,Alabalik,48,0.65,0.19,4
6b+,Stalaktosaurus,Alabalik,Alabalik,183,0.67,0.18,4
6b+,Tesaduf,Alabalık Balkon 1,Alabalik,17,0.41,0.12,4
7a,Tesaduf,Alabalik,Alabalik,3,0.67,0.33,5
7b+,Yarasa Ol (ext.),Alabalik,Alabalik,1,0.0,0.0,1
7b,Yarasa ol,Alabalik,Alabalik,110,0.36,0.13,4
7b+,three happy three friends,Alabalik balkon 4,Alabalik,27,0.48,0.11,4
7c,three happy three friends,Alabalik,Alabalik,81,0.59,0.27,4
7a,Özlem,Alabalik,Alabalik,18,0.72,0.0,3
7c+,Özlem,Alabalik,Alabalik,66,0.26,0.16,4
6c,Elettra,Alcyone,Alcyone,1,1.0,0.0,3
7c,31,Anatolia,Anatolia,3,0.33,0.0,5
6c+,Air and Style,Anatolia,Anatolia,52,0.69,0.08,3
7c+,Air and style 2.L,Anatolia Sag,Anatolia,2,0.0,0.0,3
6c+,Anatolian highway,Anatolia,Anatolia,98,0.87,0.12,3
