grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
7a,Freedom is a Battle,,Trebenna West,Trebenna West,781,66 %,10 %,3
7a,Karınca,,Magara,Magara,699,55 %,16 %,4
7b,Lycian Highway,,Trebenna West,Trebenna West,645,70 %,13 %,4
6b+,Saxafon,,Sarkit,Sarkit,591,66 %,20 %,4
6b,Nirvana,,Magara,Magara,589,78 %,10 %,3
7b+,Black Moon,,Left Cave,Left Cave,568,36 %,20 %,4
6c+,Rocket Man,,Left Cave,Left Cave,566,71 %,16 %,4
7a,Imagination,,Sarkit,Sarkit,548,78 %,6 %,3
7b,Diplomarbeit,,Trebenna West,Trebenna West,516,30 %,17 %,4
7b,Rattle Snake Saloon,,Trebenna West,Trebenna West,515,42 %,10 %,3
7a,Terazi lastik jimnastik,,Trebenna West,Trebenna West,491,66 %,12 %,3
7a,Sucker Punched,,Trebenna West,Trebenna West,479,55 %,7 %,3
7c,No Money no dance,,Trebenna West,Trebenna West,461,56 %,13 %,4
7a,10 years anniversary,,Magara,Magara,460,54 %,8 %,3
6c,Latte Tsunami,,Trebenna West,Trebenna West,446,72 %,7 %,3
7b,Greek Gift,,Trebenna West,Trebenna West,430,49 %,15 %,4
6b+,Turkish standard,,Turkish Standard,Turkish Standard,424,75 %,16 %,4
6c+,Mission to Mars,,Turkish Standard,Turkish Standard,416,71 %,11 %,3
7a,Bartabas,,Mevlana,Mevlana,415,69 %,12 %,4
7a+,Amele,,Magara,Magara,409,51 %,9 %,3
7a,Brazilia Carnaval,,Alabalik,Alabalik,399,67 %,11 %,3
6a,Muhtar,,Magara,Magara,393,88 %,4 %,3
7a,Sun express,,Turkish Standard,Turkish Standard,374,68 %,17 %,4
6c+,Mevlana,,Mevlana,Mevlana,374,72 %,10 %,3
7b,Toros,,Poseidon,Poseidon,373,65 %,5 %,3
6b,Lu,,Sarkit,Sarkit,368,75 %,9 %,3
7a,Camelita,,Yilan,Yilan,366,59 %,8 %,3
6b,Dumlupinar,,Mevlana,Mevlana,365,87 %,6 %,3
7a,Big blind,,Sarkit,Sarkit,363,58 %,8 %,3
7b+,Inner smile,,Sarkit,Sarkit,357,33 %,12 %,4
7c,Yin Yang,,Trebenna West,Trebenna West,352,44 %,17 %,4
7a,Fight the butcher,,Trebenna West,Trebenna West,348,70 %,8 %,3
6b,Bizon,,Sarkit,Sarkit,347,84 %,9 %,3
7a+,Ja Ja City,,Sarkit,Sarkit,340,77 %,16 %,4
7b+,Pusht Bush,,Sarkit,Sarkit,333,66 %,14 %,4
6c,Caf Caf,,Sarkit,Sarkit,326,79 %,3 %,2
6c,Demavend,,Poseidon,Poseidon,320,91 %,5 %,3
7a+,Zalia,,Sarkit,Sarkit,311,60 %,6 %,3
6c,Rigolos,,Ottoman,Ottoman,310,85 %,17 %,4
7b+,Sabotaj,,Magara,Magara,308,56 %,7 %,3
7b+,Sabotaj,,Magara,Magara,308,56 %,7 %,3
7a,Agustos Bocegi,,Magara,Magara,305,59 %,8 %,3
7a,Karınca Adası,,Ruzgarli Bahce,Rüzgarli Bahçe,305,64 %,13 %,3
6b+,Halva,,Alabalik,Alabalik,304,81 %,9 %,3
6a+,Maja,,Trebenna West,Trebenna West,301,79 %,4 %,3
6c+,Inquisition,,Turkish Standard,Turkish Standard,299,61 %,11 %,3
6b+,Aquaplan,,Trebenna West,Trebenna West,296,75 %,8 %,3
6b+,Arkadan,,Trebenna West,Trebenna West,291,87 %,9 %,3
6a+,Pathfinder,,Turkish Standard,Turkish Standard,288,87 %,5 %,2
6b,Aquaduct,,Trebenna West,Trebenna West,286,76 %,7 %,3
6b+,Triologie,,Trebenna West,Trebenna West,276,84 %,5 %,3
7b+,Melting souls,,Sarkit,Sarkit,270,64 %,14 %,4
7b,Demir Kazık,,Poseidon,Poseidon,262,61 %,9 %,3
6a,In the Night,,Turkish Standard,Turkish Standard,258,91 %,5 %,3
6c,Antalya icin 747 nolu ucus,,Mevlana,Mevlana,257,65 %,2 %,2
6c+,Semazen,,Mevlana,Mevlana,256,70 %,12 %,4
7a,Crescendo,,Mevlana,Mevlana,253,59 %,3 %,2
6a,Süt Cocugu,,Sarkit,Sarkit,253,84 %,4 %,3
7a+,Life is what you choose,,Trebenna West,Trebenna West,252,46 %,16 %,3
7a,Seek and destroy,,Anatolia,Anatolia,252,63 %,15 %,4
